sid,eid,gmv_PGA,gmv_SA(0.1),gmv_SA(0.3),gmv_SA(0.4)
6,31,0.55255055,0.58489436,0.5242331,0.52757466
0,32,0.024692077,0.09274167,0.18041176,0.21263003
1,32,0.08387897,0.1423386,0.758025,1.2080859
2,32,0.15479904,0.67389005,0.726694,0.74848104
3,32,0.1322419,0.61071074,1.615591,5.0099506
4,32,0.25357714,0.26912677,1.7096373,1.9664896
5,32,0.91874695,0.2775487,1.5122454,0.45091745
6,32,0.13877735,0.12056503,0.6123722,0.30997702
0,33,0.13951209,0.12417668,0.13735768,0.14089143
1,33,0.1562542,0.2467307,0.23920041,0.7297984
2,33,0.17901829,0.38257647,0.4934209,0.5745541
3,33,0.25988188,0.528029,0.78536344,0.97993225
4,33,0.21281189,0.50010264,0.9459224,0.4399885
5,33,0.33868682,0.29200506,0.85354054,0.49658993
6,33,0.12942557,0.77599466,0.9151278,0.6436985
0,34,0.165051,0.11484527,0.07241831,0.14416538
1,34,0.4592417,0.45313627,0.34388715,0.41105115
2,34,0.15030026,0.28060642,0.8460931,0.17416498
3,34,0.2589299,0.49747467,0.72475743,1.4798657
4,34,0.32051507,1.13352,1.2539544,1.3505366
5,34,0.627485,1.3013964,1.1946211,1.1778905
6,34,0.09177207,0.99093616,0.5164845,0.9356268
0,35,0.15863456,0.15629844,0.04710826,0.2763492
1,35,0.2492481,0.26218492,0.20214233,0.50562084
2,35,0.39747962,0.20592034,0.24337322,0.3792913
3,35,0.3859549,0.7717791,1.1781102,0.89915764
4,35,0.71580726,0.37945315,0.9382853,1.6865423
5,35,1.364247,0.4573584,1.2350014,1.4569958
6,35,0.29104447,0.2530115,0.35963953,0.768229
0,36,0.10327612,0.12904215,0.11102244,0.07345989
1,36,0.40247184,0.9918814,0.26707184,0.91126686
2,36,0.29844174,0.18900281,0.36011672,0.4847068
3,36,1.352711,0.80440325,0.81266487,1.151233
4,36,0.5864921,2.3040156,0.47693554,1.975217
5,36,1.1947458,2.656542,0.5366521,3.4678347
6,36,0.3671807,0.43082985,0.16994558,2.0105944
0,37,0.024124632,0.19853546,0.35390684,0.21784882
1,37,0.17359728,0.35042715,1.0463272,0.29775307
2,37,0.053985797,0.80959123,0.47682044,0.3772718
3,37,0.29624826,1.7513855,1.0754616,0.7846752
4,37,0.5299298,1.1134243,1.4872516,0.53447723
5,37,0.27234736,0.9236244,2.8039382,1.1827563
6,37,0.113756135,0.56530416,0.43486285,0.37553772
0,38,0.10904735,0.18181786,0.06502518,0.082863994
1,38,0.21797928,0.7206311,0.18637016,0.1883415
2,38,0.30030403,0.35935864,1.0460705,0.19860001
3,38,0.63254654,0.6681692,0.92049915,0.66517556
4,38,0.74059343,1.3164374,1.2691538,0.93823355
5,38,0.5583443,3.5129573,0.7554423,1.9138427
6,38,0.21103497,0.3064119,0.28533944,0.99840903
0,39,0.060800858,0.05739692,0.19756301,0.15825966
1,39,0.5026756,0.26400542,0.4901198,0.18877128
2,39,0.14404817,0.2520716,1.0319487,0.23327456
3,39,0.303252,0.49903044,1.3931037,0.35327426
4,39,0.3431914,0.6447626,0.83195466,0.696859
5,39,0.27408946,0.36729944,0.47102025,0.7972075
6,39,0.12583944,0.09502641,0.2872745,0.13491395
0,40,0.037145786,0.09082184,0.3299813,0.19740374
1,40,0.4665323,0.10107253,0.5075207,0.5839092
2,40,0.48768032,0.1948036,0.4012644,0.56056005
3,40,0.8763654,0.5226198,1.5051692,1.232803
4,40,0.45030496,0.69069844,0.9596509,1.3780787
5,40,1.0384083,1.0194063,0.39827642,0.7779042
6,40,0.096816786,0.22946881,0.60034585,0.3717585
0,41,0.08478358,0.09635579,0.12357217,0.20256576
1,41,0.18234459,0.5127866,0.3802656,0.22172205
2,41,0.5515641,0.45984727,1.1958888,0.23801938
3,41,0.7901639,1.6501071,2.516955,0.85447854
4,41,1.4529022,1.0862613,1.3993757,1.2432618
5,41,0.80402064,1.4449047,1.1488676,0.611586
6,41,0.32365513,0.45054063,0.7692744,0.3383306
0,42,0.04139176,0.13873905,0.1409524,0.18809855
1,42,0.2904814,0.20471644,0.37097225,0.48180723
2,42,0.5901865,0.37009445,0.349335,0.20424196
3,42,0.66372025,0.63491654,1.1689173,1.1077852
4,42,0.6190218,0.7825766,0.8450507,1.7776291
5,42,0.4515949,0.99990934,1.1482567,1.7224876
6,42,0.18974362,0.5407612,0.3905233,0.364805
0,43,0.21322882,0.13968015,0.13246399,0.10417686
1,43,0.26074365,1.1417998,0.30330724,1.599478
2,43,0.2686403,0.8585765,0.49017748,0.39599642
3,43,0.6517254,2.1586986,0.34152886,2.0481074
4,43,0.60308975,2.0949872,0.7731348,2.2295628
5,43,0.7923986,2.3836174,1.1375024,1.7032963
6,43,0.23886737,0.8914802,0.19966058,0.3662071
0,44,0.054295946,0.09947864,0.33271673,0.10758013
1,44,0.1658965,0.27536684,1.4771175,0.60471404
2,44,0.07417566,0.28912652,0.30301932,0.84339607
3,44,0.28255948,1.4665953,1.1354237,1.2349652
4,44,0.594177,0.787585,3.8068821,0.59097594
5,44,0.571116,1.2549188,2.9424698,0.33076546
6,44,0.12875444,0.5769695,1.4336542,0.33106425
0,45,0.08006418,0.15097584,0.10659711,0.19807671
1,45,0.08061348,0.23764248,0.51388645,0.385233
2,45,0.34597987,0.08044144,0.7696004,0.46801442
3,45,0.5668417,0.44228598,1.4206879,0.7719753
4,45,0.69088537,0.95475835,0.91924745,0.85796577
5,45,0.36193234,0.7976066,1.1000931,0.7038409
6,45,0.3977467,0.2649444,0.64173996,0.5089603
0,46,0.06863864,0.1009028,0.19066468,0.1741236
1,46,0.2973849,0.19023342,0.7104329,0.24737722
2,46,0.24373215,0.19878504,0.25341946,0.652926
3,46,0.7432846,0.45277724,0.34585765,0.896842
4,46,1.7493783,0.87351364,0.5410515,0.4661076
5,46,0.48069265,0.47124404,0.81781673,2.00911
6,46,0.41986284,0.2606804,0.14112699,0.44098392
0,47,0.061500315,0.12397192,0.23501775,0.12142222
1,47,0.17998289,1.5104165,0.45543003,0.7527678
2,47,0.44036153,0.91501284,0.70067775,0.39594764
3,47,0.32046005,0.81197804,0.9139062,0.7614612
4,47,0.5336715,1.8734922,0.6658473,1.0740843
5,47,0.5251591,0.57730836,0.4963813,1.1086481
6,47,0.23942655,0.3758395,0.43204382,0.25754577
0,48,0.07891929,0.2070741,0.338357,0.16168797
1,48,0.09902201,0.35837623,0.17657132,0.5700022
2,48,0.47028494,0.62731624,0.58831376,0.57346284
3,48,0.5484593,1.8807526,1.3443173,0.61847
4,48,0.3456362,1.7123926,1.3851244,0.9559986
5,48,0.3846683,1.9483571,0.7469032,1.0077052
6,48,0.26715526,1.5212793,0.52766925,0.6377751
0,49,0.041480403,0.22007065,0.16723116,0.21301459
1,49,0.14135022,0.7053177,0.4755037,0.20806088
2,49,0.30769193,0.7146638,0.5398778,0.106919825
3,49,0.62037796,0.7026804,0.65339833,0.40952218
4,49,0.25305507,2.1513898,1.0803394,0.3026117
5,49,0.46507996,1.9145473,0.872547,0.57083666
6,49,0.16287193,0.29830968,0.20308697,0.26504046
0,50,0.20122488,0.08469567,0.122045085,0.11446401
1,50,0.48271897,0.23253433,0.9128009,0.21506359
2,50,0.2047658,0.52026093,0.15882415,0.4858112
3,50,0.6485017,1.81841,0.7822361,0.71379507
4,50,1.0926279,1.3369561,0.91517335,0.6183512
5,50,0.7500352,1.5904622,0.48596853,0.52363914
6,50,0.17356871,0.9659602,0.31451502,0.28616872
0,51,0.08677567,0.30569997,0.17779863,0.06629175
1,51,0.12720421,0.6672328,0.5303065,0.679686
2,51,0.14591701,0.60034746,0.35323796,0.7529032
3,51,0.58123046,1.461244,0.6896544,3.069691
4,51,0.4406502,2.1796281,1.5548258,0.8171552
5,51,0.6065916,1.3544941,0.79859114,0.69887245
6,51,0.20723125,0.6670749,0.46491694,0.47946298
0,52,0.12339265,0.16478875,0.23815417,0.20577124
1,52,0.10443227,0.3055629,0.6595487,0.59460104
2,52,0.26416847,0.2681801,0.29882905,0.55791414
3,52,0.53881586,1.6665982,0.3219411,1.3609872
4,52,0.3395286,1.3783171,1.4267954,1.9380733
5,52,0.34879842,0.6083132,1.244796,1.0884228
6,52,0.18161435,0.4453118,0.25838095,0.42185482
0,53,0.19134244,0.090439655,0.14478989,0.2082074
1,53,0.3117975,0.712119,0.7664255,0.6510081
2,53,0.24335451,0.825112,0.357143,0.7537276
3,53,0.45071283,2.2291093,0.7400023,1.1193036
4,53,1.1399386,1.8695692,1.8227669,2.5069308
5,53,0.858019,0.6842822,1.6456792,0.55687696
6,53,0.4570959,0.6761786,1.1192138,0.43093348
0,54,0.058147103,0.10370769,0.06175323,0.06373675
1,54,0.4544225,0.38226676,0.3318158,0.7119586
2,54,0.114015676,0.5022929,0.23323245,0.5696801
3,54,0.22918925,4.2279725,2.0361338,1.3578746
4,54,0.30292702,1.926845,2.291457,0.64278877
5,54,0.64598566,1.7479032,5.2142344,1.2355015
6,54,0.127256,0.77592397,1.3887931,0.71118915
0,55,0.1454101,0.20910044,0.5607368,0.09971348
1,55,0.15661624,0.29315063,0.5073024,0.48592147
2,55,0.21941179,0.36416426,1.6491833,0.23984131
3,55,0.5775368,0.7967219,3.392517,0.51091677
4,55,0.47240207,1.1825418,1.3222624,2.051953
5,55,0.39502546,0.9329193,3.0888946,1.1329653
6,55,0.12582798,0.7258936,1.0101757,0.39304835
0,56,0.029790776,0.1653506,0.21454278,0.11087767
1,56,0.2106145,0.18683471,0.58551335,0.606823
2,56,0.37813354,0.41627073,0.5462903,1.2017082
3,56,0.2786271,1.2612796,2.8912978,1.7919512
4,56,0.15908837,0.54351324,2.1753888,1.5733367
5,56,0.17521192,0.4987628,1.625122,2.234792
6,56,0.07905247,0.57994026,0.6936494,0.65900296
0,57,0.029516311,0.17146358,0.13385294,0.07127597
1,57,0.18875287,0.52461386,0.2826261,0.24308413
2,57,0.18294822,0.22944507,0.23695791,0.11878219
3,57,0.4494857,0.84208137,0.6393571,0.53633237
4,57,0.39815572,1.9999832,0.6578233,0.46805122
5,57,0.14244613,1.4325844,0.6094187,0.9347347
6,57,0.11563658,0.5379867,0.26092768,0.44100153
0,58,0.019311817,0.18337983,0.06780417,0.1579613
1,58,0.08976718,0.356738,0.53343004,0.39860135
2,58,0.13585615,0.19764034,0.29211432,0.52308095
3,58,0.580821,0.6586329,0.44974893,1.1737616
4,58,0.16982551,1.312249,1.274323,0.5717351
5,58,0.30405152,0.43734473,1.0715324,0.6101312
6,58,0.13459148,0.26108834,0.44945017,0.47083506
0,59,0.044669464,0.23193718,0.2972918,0.16362979
1,59,0.22405304,0.23696539,1.4595882,0.3223815
2,59,0.092205256,0.6268299,0.73546576,0.1946004
3,59,0.36696503,1.365445,2.1126714,0.58413047
4,59,0.27391902,0.42441544,3.1108282,0.7492764
5,59,0.39428198,0.81793046,3.1736171,0.94386727
6,59,0.14960216,0.36745209,1.0365812,0.15558623
0,60,0.08260123,0.051986236,0.114372246,0.15653662
1,60,0.23831613,0.4228603,0.32571086,0.58566123
2,60,0.3182826,0.15150306,0.44757867,0.1231386
3,60,0.62399954,1.0057087,0.8980846,2.0700123
4,60,0.38347533,1.4076393,1.2367418,1.964004
5,60,0.64697105,0.6624847,0.5211936,1.1135036
6,60,0.19225651,0.6906743,0.1978257,0.33255652
0,61,0.045332268,0.07948104,0.13228077,0.09143727
1,61,0.21397264,0.3152456,0.22171442,0.27350366
2,61,0.58014405,0.38199016,0.31565666,0.21646263
3,61,0.9058505,2.2747574,1.1328785,0.9955227
4,61,0.67720884,0.66122645,0.8894048,0.89432734
5,61,0.3291473,1.050542,0.638837,1.1270382
6,61,0.5936841,0.25474694,0.3635328,0.10336593
0,62,0.1756259,0.07149064,0.0830598,0.093512245
1,62,0.39686352,0.3413179,0.73668575,0.67902666
2,62,0.19823906,0.23563464,1.1030178,0.28327376
3,62,0.64542466,1.0127637,0.95390016,1.0333444
4,62,1.0789711,0.7459008,0.82807326,0.5226994
5,62,0.50996846,0.5964167,1.7388499,0.5117853
6,62,0.37117758,0.3599353,0.6866037,0.32796177
0,63,0.06264502,0.30858287,0.20740877,0.22638439
1,63,0.23293994,0.68340546,0.36720055,0.38016528
2,63,0.23060556,0.6237867,0.48188534,0.39356267
3,63,0.59098786,1.5483662,1.0785215,1.0373973
4,63,0.62322026,2.2819796,1.0883015,0.4884657
5,63,0.1975541,1.7256795,0.90767306,0.9478517
6,63,0.15259866,0.89785707,0.4510168,0.30081978
0,64,0.05122163,0.0634306,0.8191586,0.08320666
1,64,0.103299096,0.4525382,0.8995863,0.3057273
2,64,0.3235026,0.39087984,1.9941411,0.29792267
3,64,1.0145197,1.0421374,1.4568613,0.7984326
4,64,0.9748256,0.7689353,4.22936,0.63286245
5,64,0.4238454,0.35520878,1.9845194,0.7039166
6,64,0.17337216,0.4648705,0.40741348,0.1617295
0,65,0.07935556,0.15064266,0.052522577,0.3887938
1,65,0.36669263,0.49359602,0.34193173,0.49667484
2,65,0.33412066,0.38043058,0.6715755,0.1657831
3,65,0.65227276,1.4390111,0.90149325,0.47859174
4,65,0.61160666,1.8798696,1.7903506,0.6827503
5,65,0.6195457,0.6334582,1.168922,0.662076
6,65,0.15676412,0.31504518,0.7660179,0.69922245
0,66,0.042124767,0.20396227,0.25297567,0.23332538
1,66,0.16598803,0.2804808,0.34374502,0.6756089
2,66,0.26483002,0.5815256,0.17536837,0.3233376
3,66,1.1459323,0.843111,0.75319165,1.0183756
4,66,0.4665023,1.3437431,0.32210994,0.9792606
5,66,0.38444784,0.9351473,0.31810606,0.7187936
6,66,0.16690257,0.6076476,0.12844247,0.4699144
0,67,0.13095556,0.22271214,0.21783176,0.05102595
1,67,0.16761734,0.25988737,0.3677223,0.37734556
2,67,0.3112723,0.2886598,1.5159862,0.32105464
3,67,1.08197,0.4654199,1.9750274,0.33329377
4,67,0.9858225,0.7016794,0.8808697,0.48565578
5,67,0.5747408,0.78164184,1.0273556,0.75753206
6,67,0.21888533,0.5663585,0.42215312,0.16834316
0,68,0.02991951,0.15697713,0.23581886,0.20431122
1,68,0.074353665,1.1145245,0.47007874,0.33461714
2,68,0.13175999,0.7565535,0.20899779,0.37568688
3,68,0.21886064,1.6723504,0.6375717,0.9562688
4,68,0.18817583,0.6964672,0.53054595,1.4614587
5,68,0.48725095,1.3977246,0.6149598,1.5672661
6,68,0.08618486,0.3012066,0.17887364,0.5406815
0,69,0.19386873,0.18680178,0.26398662,0.09711285
1,69,0.22981453,0.8992808,0.49812186,0.38246617
2,69,0.1533238,0.42373988,0.848979,0.52453727
3,69,0.23946466,0.9589311,1.3139362,1.0982252
4,69,0.8853676,1.0490178,1.6298553,1.914635
5,69,0.46808258,0.81035274,0.47906962,0.8418277
6,69,0.1752155,0.27274925,0.42391163,0.62914985
0,70,0.14321965,0.056072854,0.19373575,0.19046965
1,70,0.3781949,0.2867621,0.6060608,0.22956428
2,70,0.47327292,0.41815245,0.46175817,0.5102774
3,70,0.5511245,0.71852255,1.1649518,0.69740283
4,70,0.2905839,0.880523,1.9878795,0.67927706
5,70,0.5167517,1.0105917,0.5221549,0.995925
