site_id,lon,lat
652,6.21626,46.2496
653,6.21626,46.26799
654,6.21636,46.2497
655,6.21646,46.2498
656,6.21656,46.2499
657,6.21666,46.25
658,6.21667,46.23161
659,6.21677,46.23171
660,6.21687,46.23181
661,6.21697,46.23191
662,6.21707,46.21362
663,6.21707,46.23201
664,6.21717,46.21372
665,6.21727,46.21382
666,6.21737,46.21392
667,6.21747,46.21402
668,6.21748,46.19563
669,6.21758,46.19573
670,6.21768,46.19583
671,6.21778,46.19593
672,6.21788,46.19603
673,6.23342,46.64564
674,6.23382,46.62765
675,6.23392,46.62775
676,6.23402,46.62785
677,6.23412,46.62795
678,6.23422,46.60966
679,6.23422,46.62805
680,6.23432,46.60976
681,6.23442,46.60986
682,6.23452,46.60996
683,6.23462,46.59167
684,6.23462,46.61006
685,6.23472,46.59177
686,6.23482,46.59187
687,6.23492,46.59197
688,6.23502,46.57368
689,6.23502,46.59207
690,6.23512,46.57378
691,6.23522,46.57388
692,6.23532,46.57398
693,6.23542,46.55569
694,6.23542,46.57408
695,6.23552,46.55579
696,6.23582,46.5377
697,6.23592,46.5378
698,6.23602,46.5379
699,6.23612,46.538
700,6.23622,46.51971
701,6.23662,46.50172
702,6.23672,46.50182
703,6.23682,46.50192
704,6.23692,46.50202
705,6.23702,46.48374
706,6.23702,46.50212
707,6.23712,46.48384
708,6.23722,46.48394
709,6.23732,46.48404
710,6.23742,46.46575
711,6.23742,46.48414
712,6.23752,46.46585
713,6.23762,46.46595
714,6.23772,46.46605
715,6.23782,46.44776
716,6.23782,46.46615
717,6.23792,46.44786
718,6.23802,46.44796
719,6.23812,46.44806
720,6.23822,46.42977
721,6.23822,46.44816
722,6.23832,46.42987
723,6.23842,46.42997
724,6.23852,46.43007
725,6.23862,46.41178
726,6.23862,46.43017
727,6.23872,46.41188
728,6.23882,46.41198
729,6.23892,46.41208
730,6.23902,46.39379
731,6.23902,46.41218
732,6.23912,46.39389
733,6.23922,46.39399
734,6.23932,46.39409
735,6.23942,46.3758
736,6.23942,46.39419
737,6.23952,46.3759
738,6.23962,46.376
739,6.23972,46.3761
740,6.23981,46.35781
741,6.23982,46.3762
742,6.241,46.30384
743,6.2411,46.30394
744,6.2412,46.30404
745,6.2413,46.30414
746,6.2414,46.28585
747,6.2414,46.30424
748,6.2415,46.28595
749,6.2416,46.28605
750,6.2417,46.28615
751,6.2418,46.26787
752,6.2418,46.28625
753,6.2419,46.26797
754,6.242,46.26807
755,6.2421,46.26817
756,6.24219,46.24988
757,6.2422,46.26827
758,6.24229,46.24998
759,6.24239,46.25008
760,6.24249,46.25018
761,6.24259,46.23189
762,6.24259,46.25028
763,6.24269,46.23199
764,6.24279,46.23209
765,6.24289,46.23219
766,6.24299,46.2139
767,6.24299,46.23229
768,6.24309,46.214
769,6.24319,46.2141
770,6.24329,46.2142
771,6.24338,46.19591
772,6.24339,46.2143
773,6.24348,46.19601
774,6.24358,46.19611
775,6.25915,46.6639
776,6.25925,46.664
777,6.25954,46.64591
778,6.25964,46.64601
779,6.25974,46.64611
780,6.25984,46.64621
781,6.25993,46.62792
782,6.25994,46.64631
783,6.26003,46.62802
784,6.26013,46.62812
785,6.26023,46.62822
786,6.26032,46.60993
787,6.26033,46.62832
788,6.26042,46.61003
789,6.26052,46.61013
790,6.26062,46.61023
791,6.26072,46.59194
792,6.26072,46.61033
793,6.26082,46.59204
794,6.26092,46.59214
795,6.26102,46.59224
796,6.26111,46.57395
797,6.26121,46.57405
798,6.26131,46.57415
799,6.26141,46.57425
800,6.2615,46.55596
801,6.2616,46.55606
802,6.2617,46.55616
803,6.2618,46.55626
804,6.26189,46.53798
805,6.2619,46.55636
806,6.26199,46.53808
807,6.26228,46.51999
808,6.26238,46.52009
809,6.26248,46.52019
810,6.26258,46.52029
811,6.26268,46.502
812,6.26268,46.52039
813,6.26278,46.5021
814,6.26288,46.5022
815,6.26298,46.5023
816,6.26307,46.48401
817,6.26308,46.5024
818,6.26317,46.48411
819,6.26327,46.48421
820,6.26337,46.48431
821,6.26346,46.46602
822,6.26347,46.48441
823,6.26356,46.46612
824,6.26366,46.46622
825,6.26376,46.46632
826,6.26385,46.44803
827,6.26386,46.46642
828,6.26395,46.44813
829,6.26405,46.44823
830,6.26415,46.44833
831,6.26424,46.43004
832,6.26425,46.44843
833,6.26434,46.43014
834,6.26444,46.43024
835,6.26454,46.43034
836,6.26463,46.41205
837,6.26464,46.43044
838,6.26473,46.41215
839,6.26483,46.41225
840,6.26493,46.41235
841,6.26502,46.39406
842,6.26503,46.41245
843,6.26512,46.39416
844,6.26522,46.39426
845,6.26532,46.39436
846,6.26542,46.39446
847,6.26812,46.25015
848,6.26822,46.25025
849,6.26832,46.25035
850,6.26842,46.25045
851,6.26851,46.23216
852,6.26852,46.25055
