lat,lon,psa03_%g,lnpsa03_uncertainty
47.8,9.3417,0.9189999999999999,0.6082
47.8,9.35,0.7832,0.6082
47.8,9.3583,0.7694,0.6082
47.8,9.3667,0.7701,0.6082
47.8,9.375,0.949,0.6082
47.8,9.3833,1.382,0.6082
47.8,9.3917,0.7666999999999999,0.6082
47.8,9.4,0.762,0.6082
47.8,9.4083,0.7832,0.6082
47.8,9.4167,0.8006,0.6082
47.8,9.425,0.7999999999999998,0.6082
47.8,9.4333,1.004,0.6082
47.8,9.4417,1.418,0.6082
47.8,9.45,0.7126,0.6082
47.8,9.4583,0.7221000000000001,0.6082
47.8,9.4667,0.7985999999999999,0.6082
47.8,9.475,1.522,0.6082
47.8,9.4833,1.4139999999999997,0.6082
47.8,9.4917,1.7579999999999998,0.6082
47.8,9.5,0.9398,0.6082
47.8,9.5083,1.3430000000000002,0.6082
47.8,9.5167,1.584,0.6082
47.8,9.525,0.7351,0.6082
47.8,9.5333,1.4869999999999999,0.6082
47.8,9.5417,0.9421999999999999,0.6082
47.8,9.55,0.8704,0.6082
47.8,9.5583,0.762,0.6082
47.8,9.5667,0.77,0.6082
47.8,9.575,1.294,0.6082
47.8,9.5833,1.287,0.6082
47.8,9.5917,1.28,0.6082
47.8,9.6,1.273,0.6082
47.8,9.6083,1.451,0.6082
47.8,9.6167,1.4429999999999998,0.6082
47.8,9.625,1.253,0.6082
47.8,9.6333,1.2469999999999999,0.6082
47.8,9.6417,1.24,0.6082
47.8,9.65,1.234,0.6082
47.8,9.6583,1.494,0.6082
47.8,9.6667,1.486,0.6082
47.8,9.675,1.2149999999999999,0.6082
47.8,9.6833,1.208,0.6082
47.8,9.6917,1.202,0.6082
47.8,9.7,1.196,0.6082
47.8,9.7083,1.19,0.6082
47.8,9.7167,1.1829999999999998,0.6082
47.8,9.725,1.1769999999999998,0.6082
47.8,9.7333,1.1709999999999998,0.6082
47.8,9.7417,1.1649999999999998,0.6082
47.8,9.75,1.159,0.6082
47.8,9.7583,1.1529999999999998,0.6082
47.8,9.7667,1.147,0.6082
47.8,9.775,1.142,0.6082
47.8,9.7833,1.136,0.6082
47.8,9.7917,1.539,0.6082
47.8,9.8,1.531,0.6082
47.8,9.8083,1.5229999999999997,0.6082
47.8,9.8167,1.516,0.6082
47.8,9.825,1.292,0.6082
47.8,9.8333,1.286,0.6082
47.8,9.8417,1.096,0.6082
47.8,9.85,1.091,0.6082
47.8,9.8583,1.085,0.6082
47.8,9.8667,1.0799999999999998,0.6082
47.8,9.875,1.4629999999999999,0.6082
47.8,9.8833,1.456,0.6082
47.8,9.8917,1.0639999999999998,0.6082
47.8,9.9,1.058,0.6082
47.8,9.9083,1.053,0.6082
47.8,9.9167,1.0479999999999998,0.6082
47.8,9.925,1.043,0.6082
47.8,9.9333,1.0370000000000001,0.6082
47.8,9.9417,1.032,0.6082
47.8,9.95,1.027,0.6082
47.8,9.9583,1.022,0.6082
47.8,9.9667,1.017,0.6082
47.8,9.975,1.181,0.6082
47.8,9.9833,1.1749999999999998,0.6082
47.8,9.9917,1.002,0.6082
47.8,10,0.9973000000000001,0.6082
47.8,10.0083,0.9923999999999998,0.6082
